6981;CARY;SMOOTH ASPHALT;DRY;DARK - ROADWAY NOT LIGHTED;CLEAR;2013-02-15 23:48:01+00:00;2013
6983;500 FEET FROM 3511 KILDAIRE FARM RD;SMOOTH ASPHALT;;DAYLIGHT;RAIN;2013-02-16 12:54:59+00:00;2013
6985;367 FEET FROM PVA 657 CARY TOWNE BLVD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-02-16 01:28:29+00:00;2013
6987;450 FEET FROM 2350 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-15 20:35:33+00:00;2013
6992;50 FEET FROM 2310 WWALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-14 19:40:05+00:00;2013
6996;0 FEET FROM COZY OAKS AVE;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-02-16 01:32:05+00:00;2013
7001;200 FEET FROM PVA 1931 HIGH HOUSE RD;SMOOTH ASPHALT;WET;DAYLIGHT;SNOW;2013-02-16 16:19:00+00:00;2013
7014;.25 MILES FROM 1105 WALNUT ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-18 20:54:05+00:00;2013
7018;.55 MILES FROM PVA 930 REEDY CREEK RD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-11 19:04:57+00:00;2013
7021;25 FEET FROM KILDAIRE FARM RD;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-02-19 17:27:00+00:00;2013
7022;20 FEET FROM US 1;SMOOTH ASPHALT;WET;DAYLIGHT;RAIN;2013-02-19 19:51:37+00:00;2013
7030;.26 MILES FROM CROSSROADS BLVD;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-15 23:03:46+00:00;2013
7037;CARY;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-20 20:52:17+00:00;2013
7038;700 FEET FROM FOREST GREEN DR;GRAVEL;WET;DAYLIGHT;CLEAR;2013-02-21 01:23:03+00:00;2013
7040;20 FEET FROM MEETING ST;SMOOTH ASPHALT;DRY;DAYLIGHT;CLEAR;2013-02-20 23:27:26+00:00;2013
7044;170 FEET FROM CARY GLEN BLVD;SMOOTH ASPHALT;DRY;DARK - LIGHTED ROADWAY;CLEAR;2013-02-21 10:05:32+00:00;2013
